,StockCode,total_quantity,total_revenue,avg_price,num_customers,num_invoices,num_countries,cluster,cluster_label
0,10002,3714,3084.75,0.8409602649006622,164,297,12,2,Potential Product
1,10080,282,116.41999999999999,0.5092592592592593,23,26,1,1,Low-demand Product
2,10109,4,1.68,0.42,1,1,1,1,Low-demand Product
3,10120,579,121.59,0.21,52,62,2,1,Low-demand Product
4,10123C,325,176.15,0.6217391304347827,39,46,5,1,Low-demand Product
5,10123G,92,27.94,0.5592307692307693,12,12,2,1,Low-demand Product
6,10124A,58,24.36,0.42,18,18,1,1,Low-demand Product
7,10124G,32,13.44,0.42,9,9,1,1,Low-demand Product
8,10125,1570,1242.48,0.8158730158730159,87,120,6,1,Low-demand Product
9,10133,2618,1557.85,0.655320197044335,153,203,8,1,Low-demand Product
10,10134,336,409.74,1.2424,44,48,4,1,Low-demand Product
11,10135,2489,2714.51,1.2218650793650794,178,249,7,2,Potential Product
12,10138,178,74.76,0.42,14,16,1,1,Low-demand Product
13,11001,2554,4239.69,1.7286338797814207,118,178,11,1,Low-demand Product
14,15030,221,64.09,0.29,23,26,1,1,Low-demand Product
15,15034,3509,481.81000000000006,0.13797687861271676,123,172,9,1,Low-demand Product
16,15036,11890,9051.85,0.7659527559055118,303,634,14,2,Potential Product
17,15039,1901,1520.81,0.8306593406593407,127,180,8,1,Low-demand Product
18,15044A,1060,3027.0800000000004,2.95659793814433,116,194,8,1,Low-demand Product
19,15044B,867,2446.05,2.9202702702702705,97,148,7,1,Low-demand Product
20,15044C,747,2135.25,2.932608695652174,100,160,7,1,Low-demand Product
21,15044D,1154,3258.34,2.9333684210526316,105,188,7,1,Low-demand Product
22,15056BL,5015,27773.550000000003,5.7816645807259075,321,788,14,0,Mid-range Popular Product
23,15056N,6090,33526.3,5.781870669745959,347,863,14,0,Mid-range Popular Product
24,15056P,1500,8335.35,5.828571428571428,186,321,9,4,High-end Niche Product
25,15058A,419,2429.3,6.846728971962617,76,106,8,4,High-end Niche Product
26,15058B,301,1857.5,7.107692307692307,65,91,10,4,High-end Niche Product
27,15058C,407,1902.3,6.3,56,71,5,4,High-end Niche Product
28,15059A,27,81.0,3.0,1,1,1,1,Low-demand Product
29,15060B,1071,3941.1,3.7598540145985404,174,274,11,2,Potential Product
30,16008,1584,237.62,0.15623529411764706,64,85,8,1,Low-demand Product
31,16010,32,3.84,0.12,4,4,1,1,Low-demand Product
32,16011,2443,511.83,0.20955357142857142,83,112,3,1,Low-demand Product
33,16012,1946,407.46,0.20939759036144578,67,82,6,1,Low-demand Product
34,16014,1474,559.08,0.39499999999999996,46,92,5,1,Low-demand Product
35,16015,893,426.76,0.4870769230769231,40,65,1,1,Low-demand Product
36,16016,1363,1133.2,0.840095238095238,57,105,6,1,Low-demand Product
37,16020C,82,69.69999999999999,0.85,22,24,1,1,Low-demand Product
38,16033,1297,150.78,0.1163265306122449,43,49,6,1,Low-demand Product
39,16043,229,61.44,0.31,11,12,2,1,Low-demand Product
40,16044,54,12.959999999999999,0.24,2,2,2,1,Low-demand Product
41,16045,1971,93.96000000000001,0.04767123287671233,65,72,4,1,Low-demand Product
42,16046,412,219.51999999999998,0.7491666666666666,44,45,2,1,Low-demand Product
43,16047,227,151.37,0.7830434782608695,21,23,2,1,Low-demand Product
44,16048,1439,261.78,0.19285714285714287,59,69,7,1,Low-demand Product
45,16049,675,186.3,0.27599999999999997,22,25,1,1,Low-demand Product
46,16050,76,19.0,0.25,4,4,1,1,Low-demand Product
47,16051,81,24.299999999999997,0.3,3,3,3,1,Low-demand Product
48,16052,490,187.86,0.3871428571428571,18,21,3,1,Low-demand Product
49,16053,216,35.64,0.16499999999999998,8,8,3,1,Low-demand Product
50,16054,773,102.36,0.16054054054054054,32,37,4,1,Low-demand Product
51,16119,83,56.769999999999996,1.0014285714285713,7,7,2,1,Low-demand Product
52,16151A,36,52.5,2.25,5,5,1,1,Low-demand Product
53,16156L,904,379.68,0.42,33,36,8,1,Low-demand Product
54,16156N,1381,580.02,0.42,51,55,1,1,Low-demand Product
55,16156S,10517,4364.38,0.41529976019184656,271,417,13,2,Potential Product
56,16161C,54,5.4,0.1,2,2,1,1,Low-demand Product
57,16161E,231,23.1,0.1,8,9,1,1,Low-demand Product
58,16161G,833,83.3,0.1,31,33,4,1,Low-demand Product
59,16161M,981,410.02,0.41794871794871796,36,39,2,1,Low-demand Product
60,16161P,11040,4624.54,0.41895454545454547,289,440,18,2,Potential Product
61,16161U,7953,3324.0,0.4180441640378548,203,317,13,2,Potential Product
62,16162L,226,86.42,0.5182352941176471,16,17,2,1,Low-demand Product
63,16162M,86,36.12,0.42,10,12,1,1,Low-demand Product
64,16168M,848,313.86,0.389811320754717,42,53,2,1,Low-demand Product
65,16168S,144,20.159999999999997,0.1757142857142857,4,7,1,1,Low-demand Product
66,16169A,25,10.5,0.42,1,1,1,1,Low-demand Product
67,16169C,1087,456.54,0.42,42,43,4,1,Low-demand Product
68,16169D,227,95.34,0.42,9,9,2,1,Low-demand Product
69,16169E,3743,1568.82,0.41919999999999996,143,149,9,1,Low-demand Product
70,16169F,860,361.2,0.42,34,34,2,1,Low-demand Product
71,16169G,25,10.5,0.42,1,1,1,1,Low-demand Product
72,16169K,1485,535.61,0.3615254237288135,56,59,5,1,Low-demand Product
73,16169M,1495,528.31,0.35483333333333333,56,59,4,1,Low-demand Product
74,16169N,1414,494.29,0.3501785714285714,52,56,8,1,Low-demand Product
75,16169P,1208,430.77,0.3577083333333333,46,48,5,1,Low-demand Product
76,16201A,91,182.25,2.55,7,8,1,1,Low-demand Product
77,16201B,24,46.8,1.95,2,2,1,1,Low-demand Product
78,16202A,114,173.63,3.694210526315789,16,19,3,1,Low-demand Product
79,16202B,191,309.88,3.191111111111111,13,18,4,1,Low-demand Product
80,16202C,93,199.35,3.0300000000000002,10,10,3,1,Low-demand Product
81,16202E,81,150.6,2.723076923076923,12,13,1,1,Low-demand Product
82,16206B,96,116.4,1.23125,14,16,2,1,Low-demand Product
83,16207A,55,162.25000000000003,2.95,17,19,2,1,Low-demand Product
84,16207B,112,192.21,2.5200000000000005,12,13,2,1,Low-demand Product
85,16212,303,196.95000000000002,0.65,29,30,3,1,Low-demand Product
86,16215,8,5.2,0.65,3,3,1,1,Low-demand Product
87,16216,1213,137.78,0.12607594936708863,69,78,2,1,Low-demand Product
88,16218,1381,125.98,0.098,60,70,4,1,Low-demand Product
89,16219,1370,148.8,0.12515151515151515,58,66,6,1,Low-demand Product
90,16225,868,832.67,1.1831858407079645,90,112,3,1,Low-demand Product
91,16235,2607,545.52,0.21164634146341463,124,160,6,1,Low-demand Product
92,16236,2108,441.33,0.20965986394557823,108,143,6,1,Low-demand Product
93,16237,6271,1298.01,0.20797101449275363,209,340,8,2,Potential Product
94,16238,2048,435.03,0.2250735294117647,104,135,7,1,Low-demand Product
95,16239,77,142.15,2.6884615384615387,13,13,2,1,Low-demand Product
96,16243B,27,52.65,1.95,1,1,1,1,Low-demand Product
97,16244A,61,135.05,3.483333333333333,6,6,1,1,Low-demand Product
98,16244B,68,142.9,2.91875,8,8,1,1,Low-demand Product
99,16245A,11,13.75,1.25,7,7,1,1,Low-demand Product
100,16248B,60,75.0,1.25,12,12,1,1,Low-demand Product
101,16254,75,49.11,0.898,17,19,2,1,Low-demand Product
102,16256B,430,180.6,0.42000000000000004,17,20,2,1,Low-demand Product
103,16256C,148,62.160000000000004,0.42000000000000004,8,10,1,1,Low-demand Product
104,16258A,729,267.99,0.4244736842105263,58,74,6,1,Low-demand Product
105,16258B,263,64.23,0.2885714285714286,13,13,1,1,Low-demand Product
106,16259,1322,193.25,0.14618181818181816,46,55,4,1,Low-demand Product
107,17001,482,133.29999999999998,0.27956521739130435,20,23,2,1,Low-demand Product
108,17003,8942,2330.46,0.26536895674300254,215,387,6,2,Potential Product
109,17007B,34,71.4,2.1,6,6,1,1,Low-demand Product
110,17011A,94,70.5,1.3166666666666667,6,6,2,1,Low-demand Product
111,17011B,19,11.100000000000001,1.2,2,2,2,1,Low-demand Product
112,17011C,27,17.55,0.65,1,1,1,1,Low-demand Product
113,17011D,42,22.05,0.475,2,2,2,1,Low-demand Product
114,17011E,27,17.55,0.65,1,1,1,1,Low-demand Product
115,17011F,194,194.25,1.4233333333333333,15,15,3,1,Low-demand Product
116,17012A,389,369.84999999999997,1.3257142857142856,30,34,3,1,Low-demand Product
117,17012B,479,473.54999999999995,1.3385416666666667,43,48,3,1,Low-demand Product
118,17012C,378,408.09999999999997,1.3901785714285713,47,56,2,1,Low-demand Product
119,17012D,426,426.7,1.25,41,51,3,1,Low-demand Product
120,17012E,75,96.14999999999999,2.2375,12,12,2,1,Low-demand Product
121,17012F,424,392.79999999999995,1.0957446808510638,38,47,3,1,Low-demand Product
122,17013B,54,45.629999999999995,0.845,2,2,1,1,Low-demand Product
123,17013C,54,22.68,0.42,2,2,1,1,Low-demand Product
124,17013D,337,224.39999999999998,1.0,17,21,2,1,Low-demand Product
125,17013F,32,16.349999999999998,1.3125,4,4,2,1,Low-demand Product
126,17014A,116,56.79,0.7022222222222222,9,9,1,1,Low-demand Product
127,17014C,27,11.34,0.42,1,1,1,1,Low-demand Product
128,17014D,85,37.379999999999995,1.015,5,5,2,1,Low-demand Product
129,17014E,31,14.7,1.3125,4,4,2,1,Low-demand Product
130,17014F,31,14.7,1.3125,4,4,2,1,Low-demand Product
131,17021,1389,405.35999999999996,0.2948780487804878,45,75,2,1,Low-demand Product
132,17027A,54,19.169999999999998,0.355,1,2,1,1,Low-demand Product
133,17028J,6,2.52,0.42,1,1,1,1,Low-demand Product
134,17033,1483,421.42999999999995,0.2852941176470588,58,68,1,1,Low-demand Product
135,17038,682,62.53,0.093,21,30,2,1,Low-demand Product
136,17039,511,135.23,0.27399999999999997,20,30,2,1,Low-demand Product
137,17061,27,1.08,0.04,1,1,1,1,Low-demand Product
138,17084A,419,87.99,0.21,14,18,1,1,Low-demand Product
139,17084G,50,10.5,0.21,2,2,1,1,Low-demand Product
140,17084J,431,90.51,0.21,17,19,2,1,Low-demand Product
141,17084N,1675,347.8,0.20776119402985074,42,67,1,1,Low-demand Product
142,17084P,655,136.2,0.20807692307692308,23,26,2,1,Low-demand Product
143,17084R,1760,357.45,0.20318181818181819,29,66,3,1,Low-demand Product
144,17090A,155,167.35,1.2038461538461538,24,26,2,1,Low-demand Product
145,17090D,88,105.2,1.2366666666666668,21,28,1,1,Low-demand Product
146,17091A,1164,715.65,0.9342727272727273,78,110,5,1,Low-demand Product
147,17091B,237,263.85,1.2227272727272727,35,43,2,1,Low-demand Product
148,17091F,16,20.0,1.25,6,6,1,1,Low-demand Product
149,17091J,2351,1183.3899999999999,0.731987951807229,108,161,5,1,Low-demand Product
150,17096,775,151.95000000000002,0.19857142857142857,25,35,2,1,Low-demand Product
151,17107D,306,780.3,2.55,68,82,5,1,Low-demand Product
152,17108D,334,140.28,0.42,17,23,3,1,Low-demand Product
153,17109A,184,134.11,1.1861538461538461,12,13,2,1,Low-demand Product
154,17109B,209,134.78,1.184375,13,16,3,1,Low-demand Product
155,17109C,176,114.38,1.238,13,15,2,1,Low-demand Product
156,17109D,344,239.45,1.3005405405405406,33,36,4,1,Low-demand Product
157,17129C,39,27.48,0.829,7,10,1,1,Low-demand Product
158,17129D,266,183.26,0.7615789473684211,12,19,1,1,Low-demand Product
159,17129F,631,428.74,0.7821428571428571,19,41,1,1,Low-demand Product
160,17136A,611,51.22,0.10676470588235294,28,34,2,1,Low-demand Product
161,17164B,883,365.19,0.41740740740740745,64,80,2,1,Low-demand Product
162,17164D,424,174.03,0.415,26,27,1,1,Low-demand Product
163,17165B,485,477.84000000000003,1.0295,43,56,1,1,Low-demand Product
164,17165D,563,554.34,1.0346236559139785,62,89,2,1,Low-demand Product
165,17174,36,15.120000000000001,0.42,7,7,3,1,Low-demand Product
166,17178,133,156.65,1.234,20,24,1,1,Low-demand Product
167,17181,213,272.84999999999997,2.1533333333333333,26,28,3,1,Low-demand Product
168,17191A,33,123.75,3.75,9,12,1,1,Low-demand Product
169,18007,802,130.32,0.170188679245283,40,51,6,1,Low-demand Product
170,18010,56,23.52,0.42,6,6,1,1,Low-demand Product
171,18094C,332,376.6,1.1941860465116279,22,43,3,1,Low-demand Product
172,18096C,85,200.54999999999998,2.503846153846154,12,13,3,1,Low-demand Product
173,18097A,17,43.349999999999994,2.55,10,12,1,1,Low-demand Product
174,18097B,7,17.849999999999998,2.55,3,3,1,1,Low-demand Product
175,18097C,1003,2388.45,2.5075,110,159,3,1,Low-demand Product
176,18098A,2,5.9,2.95,2,2,1,1,Low-demand Product
177,18098B,3,8.850000000000001,2.9500000000000006,3,3,1,1,Low-demand Product
178,18098C,949,2560.7500000000005,2.891304347826087,104,177,4,1,Low-demand Product
